event_date,event_name,event_type
2024-01-31,FOMC 2024-01-31,fomc
2024-03-20,FOMC 2024-03-20,fomc
2024-05-01,FOMC 2024-05-01,fomc
2024-06-12,FOMC 2024-06-12,fomc
2024-07-31,FOMC 2024-07-31,fomc
2024-09-18,FOMC 2024-09-18,fomc
2024-11-07,FOMC 2024-11-07,fomc
2024-12-18,FOMC 2024-12-18,fomc
2025-01-29,FOMC 2025-01-29,fomc
2025-03-19,FOMC 2025-03-19,fomc
2025-05-07,FOMC 2025-05-07,fomc
2025-06-18,FOMC 2025-06-18,fomc
2025-07-30,FOMC 2025-07-30,fomc
2025-09-17,FOMC 2025-09-17,fomc
2025-10-29,FOMC 2025-10-29,fomc
2025-12-10,FOMC 2025-12-10,fomc
2026-01-28,FOMC 2026-01-28,fomc
2026-03-18,FOMC 2026-03-18,fomc
